task_uid,benchmark,log_episodes,M_g,M_g_a0_small,M_g_a0_large,m_g,A_g,U_g1,D_g1,U_g0,D_g0,lead_derivative_U_g
mbpp/19,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/2,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/20,mbpp,8,4,0,4,1,0.0,0.0,0.0,0.0,12.0,-0.0045335186781434765
mbpp/222,mbpp,8,8,4,4,1,0.0,10.0,10.0,10.0,10.0,0.0016630919160888075
mbpp/223,mbpp,8,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/224,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/226,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/227,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/228,mbpp,8,2,2,0,2,0.0,0.0,2.0,0.0,0.0,-6.73437980917204e-05
mbpp/229,mbpp,8,1,0,1,1,0.0,0.0,0.0,0.0,0.0,-0.0006
mbpp/233,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/234,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/235,mbpp,8,8,4,4,4,0.0,0.0,12.0,0.0,8.0,0.001773591426020692
mbpp/239,mbpp,8,2,1,1,0,0.0,0.0,0.0,0.0,4.0,-0.0013111728927144922
mbpp/245,mbpp,8,4,3,1,0,0.0,0.0,12.0,0.0,4.0,0.0054847643187351846
mbpp/248,mbpp,8,3,3,0,0,0.0,0.0,4.0,0.0,4.0,0.0009541395111020668
mbpp/249,mbpp,8,8,4,4,2,-0.5,0.0,12.0,0.0,0.0,0.0030959372114496763
mbpp/251,mbpp,8,8,4,4,4,2.0,6.0,14.0,0.0,0.0,0.005002277623884272
mbpp/252,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/255,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/256,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/257,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/259,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/262,mbpp,8,1,1,0,1,0.0,4.0,4.0,0.0,0.0,-0.005352231455832563
mbpp/265,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/266,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/269,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/270,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/272,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/274,mbpp,8,1,0,1,1,0.0,2.0,2.0,0.0,0.0,-0.0029761157279162816
mbpp/276,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/277,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/278,mbpp,8,8,4,4,5,0.5,0.0,0.0,8.0,12.0,0.00950376355182168
mbpp/279,mbpp,8,8,4,4,4,0.0,0.0,12.0,0.0,8.0,0.001773591426020692
mbpp/280,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/281,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/283,mbpp,8,2,2,0,1,0.0,0.0,0.0,0.0,0.0,-0.0006
mbpp/284,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/285,mbpp,8,4,4,0,0,0.0,2.0,2.0,6.0,6.0,0.006110086605485847
mbpp/290,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/292,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/293,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/294,mbpp,8,7,3,4,3,0.0,0.0,8.0,0.0,12.0,-0.0012028938705103587
mbpp/295,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/296,mbpp,8,2,2,0,1,0.0,0.0,0.0,0.0,0.0,-0.0006
mbpp/299,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/3,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/300,mbpp,8,5,4,1,1,0.0,0.0,8.0,0.0,0.0,0.003930624807633118
mbpp/304,mbpp,8,3,0,3,3,0.0,0.0,0.0,0.0,4.0,-0.0031111728927144923
mbpp/305,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/306,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/308,mbpp,8,2,1,1,1,0.0,0.0,0.0,0.0,4.0,-0.0019111728927144922
mbpp/310,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/388,mbpp,8,8,4,4,3,2.0,8.0,8.0,0.0,0.0,-0.0013044629116651264
mbpp/390,mbpp,8,8,4,4,0,0.0,6.0,10.0,0.0,4.0,-0.006174207672646779
mbpp/391,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/392,mbpp,8,4,3,1,2,-1.0,0.0,6.0,2.0,2.0,2.6702716858881693e-05
mbpp/393,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/396,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/397,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/401,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/409,mbpp,8,3,3,0,0,0.0,0.0,0.0,0.0,8.0,-0.0026223457854289843
mbpp/410,mbpp,8,5,3,2,0,0.0,2.0,6.0,4.0,4.0,0.005546664898168363
mbpp/411,mbpp,8,4,3,1,0,0.0,2.0,6.0,0.0,8.0,-0.002733149109528707
mbpp/413,mbpp,8,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/414,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/415,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/418,mbpp,8,1,0,1,0,0.0,4.0,4.0,0.0,0.0,-0.0047522314558325635
mbpp/419,mbpp,8,2,0,2,0,0.0,2.0,2.0,0.0,0.0,-0.0023761157279162818
mbpp/420,mbpp,8,2,2,0,2,0.5,0.0,0.0,0.0,0.0,0.0013
mbpp/422,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/424,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/425,mbpp,8,2,2,0,0,0.0,0.0,0.0,0.0,4.0,-0.0013111728927144922
mbpp/428,mbpp,8,5,1,4,2,0.0,0.0,0.0,0.0,4.0,-0.002511172892714492
mbpp/429,mbpp,8,8,4,4,3,1.5,6.0,6.0,2.0,14.0,-0.0025331317507582794
mbpp/431,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/433,mbpp,8,1,1,0,0,0.0,0.0,0.0,0.0,4.0,-0.0013111728927144922
mbpp/435,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/439,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/441,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/443,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/446,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/447,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/450,mbpp,8,4,4,0,1,1.0,6.0,6.0,0.0,0.0,-0.002728347183748846
mbpp/451,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/452,mbpp,8,7,3,4,0,0.0,0.0,4.0,0.0,8.0,-0.00035703338161242534
mbpp/453,mbpp,8,8,4,4,2,0.0,0.0,0.0,0.0,12.0,-0.005133518678143476
mbpp/456,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/457,mbpp,8,3,0,3,0,0.0,6.0,10.0,0.0,0.0,-0.004863034779932287
mbpp/458,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/459,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/461,mbpp,8,8,4,4,3,0.0,0.0,12.0,0.0,8.0,0.002373591426020692
mbpp/463,mbpp,8,1,1,0,0,0.0,0.0,0.0,0.0,4.0,-0.0013111728927144922
mbpp/468,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/472,mbpp,8,3,2,1,1,-0.5,0.0,4.0,0.0,4.0,-0.002145860488897933
mbpp/475,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/476,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/477,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/478,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/555,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/556,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/558,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/56,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/560,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/562,mbpp,8,3,3,0,2,-0.5,2.0,6.0,0.0,4.0,-0.005121976216814215
mbpp/564,mbpp,8,6,3,3,1,0.0,0.0,12.0,0.0,0.0,0.006195937211449677
mbpp/565,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/568,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/57,mbpp,8,2,1,1,2,0.0,0.0,0.0,6.0,6.0,0.007286202333402129
mbpp/572,mbpp,8,6,4,2,3,0.0,0.0,8.0,0.0,4.0,0.0014194519149186258
mbpp/573,mbpp,8,5,2,3,1,0.0,0.0,0.0,0.0,8.0,-0.003222345785428984
mbpp/576,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/578,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/581,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/582,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/583,mbpp,8,3,0,3,0,0.0,0.0,0.0,6.0,6.0,0.008486202333402129
mbpp/584,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/585,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/587,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/588,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/589,mbpp,8,3,2,1,1,1.0,0.0,2.0,0.0,0.0,0.0055326562019082795
mbpp/59,mbpp,8,7,3,4,3,0.0,0.0,0.0,0.0,8.0,-0.004422345785428984
mbpp/591,mbpp,8,3,2,1,2,1.0,4.0,4.0,0.0,4.0,-0.002263404348547056
mbpp/592,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/596,mbpp,8,3,3,0,1,0.5,0.0,0.0,0.0,4.0,0.0005888271072855078
mbpp/597,mbpp,8,7,4,3,5,2.0,2.0,6.0,0.0,8.0,0.004266850890471291
mbpp/598,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/599,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/602,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/604,mbpp,8,1,1,0,1,0.0,0.0,0.0,0.0,4.0,-0.0019111728927144922
mbpp/606,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/608,mbpp,8,1,1,0,1,0.0,0.0,0.0,0.0,2.0,-0.001255586446357246
mbpp/610,mbpp,8,1,0,1,1,0.0,0.0,0.0,0.0,4.0,-0.0019111728927144922
mbpp/611,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/614,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/616,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/617,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/62,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/622,mbpp,8,8,4,4,3,0.0,0.0,12.0,0.0,8.0,0.002373591426020692
mbpp/623,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/629,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/63,mbpp,8,5,3,2,1,0.0,0.0,10.0,0.0,0.0,0.005063281009541398
mbpp/633,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/638,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/64,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/640,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/641,mbpp,8,6,3,3,3,0.0,0.0,8.0,0.0,0.0,0.002730624807633118
mbpp/644,mbpp,8,6,2,4,3,1.0,2.0,6.0,0.0,0.0,0.0030891966759002774
mbpp/65,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/66,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/68,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/69,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/7,mbpp,8,3,3,0,0,0.0,2.0,2.0,4.0,8.0,0.0019701796016373127
mbpp/71,mbpp,8,7,3,4,3,-0.5,2.0,6.0,0.0,8.0,-0.007033149109528708
mbpp/72,mbpp,8,5,2,3,2,0.0,0.0,4.0,0.0,16.0,-0.00417937916704141
mbpp/720,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/721,mbpp,8,6,2,4,3,0.0,2.0,6.0,0.0,0.0,-0.001910803324099723
mbpp/722,mbpp,8,8,4,4,1,0.0,0.0,16.0,0.0,4.0,0.007150076722551744
mbpp/723,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/725,mbpp,8,2,2,0,0,0.0,4.0,4.0,2.0,2.0,-0.0019234973446985203
mbpp/728,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/730,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
mbpp/731,mbpp,8,2,2,0,0,0.0,0.0,0.0,0.0,4.0,-0.0013111728927144922
mbpp/734,mbpp,8,3,0,3,1,0.0,0.0,8.0,0.0,0.0,0.003930624807633118
mbpp/736,mbpp,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
